Fecha,Exportaciones  totales
01/02/2017,31345973
01/03/2017,36048426
01/04/2017,31768954
01/05/2017,35342342
01/06/2017,35547887
01/07/2017,32155156
01/08/2017,35926907
01/09/2017,33771318
01/10/2017,36715630
01/11/2017,37507573
01/12/2017,35986234
01/01/2018,30718527
01/02/2018,35093793
01/03/2018,39484266
01/04/2018,37181694
01/05/2018,39213912
01/06/2018,37483508
01/07/2018,36742212
01/08/2018,39545208
01/09/2018,37700602
01/10/2018,41356070
01/11/2018,38595389
01/12/2018,37597547
01/01/2019,32637220
01/02/2019,36437807
01/03/2019,39018828
01/04/2019,39586470
01/05/2019,41749996
01/06/2019,37924986
01/07/2019,39115793
01/08/2019,40051141
01/09/2019,37180583
01/10/2019,40762123
01/11/2019,37484491
01/12/2019,38654441
01/01/2020,33580843
01/02/2020,36433717
01/03/2020,38310269
01/04/2020,23222658
01/05/2020,18116042
01/06/2020,33047725
01/07/2020,35499490
01/08/2020,37001121
01/09/2020,38539740
01/10/2020,41950815
01/11/2020,38313680
01/12/2020,43154635
01/01/2021,32716018
01/02/2021,36213207
01/03/2021,43029980
01/04/2021,40944531
01/05/2021,40845600
01/06/2021,42619373
01/07/2021,40952956
01/08/2021,40471381
01/09/2021,41754650
01/10/2021,41859338
01/11/2021,45651796
01/12/2021,47705675
01/01/2022,33907246
01/02/2022,46239262
01/03/2022,51906144
01/04/2022,47479465
01/05/2022,50005133
01/06/2022,51234083
01/07/2022,46504496
01/08/2022,50670000
01/09/2022,52338034
01/10/2022,49275305
